REF,ROD,HORA,JOGO,ESTÁDIO,CIDADE,UF,DATA,DIA,TimeMandante,UF_M,Gols_M,Gols_V,TimeVisitante,UF_V,GolMandante,GolVisitante,ROD_NUM
18,2ª,20:00,Fortaleza                      CE  1  x  1  Cruzeiro                       MG,Arena Castelão,Fortaleza,CE,17/04,qua,Fortaleza,CE,1,1,Cruzeiro,MG,Fortaleza CE - 1,Cruzeiro MG - 1,2
20,2ª,20:00,Juventude                     RS  2  x  0  Corinthians                   SP,Alfredo Jaconi,Caxias do Sul,RS,17/04,qua,Juventude,RS,2,0,Corinthians,SP,Juventude RS - 2,Corinthians SP - 0,2
16,2ª,20:00,Palmeiras                     SP  0  x  1  Internacional                RS,Arena Barueri,Barueri,SP,17/04,qua,Palmeiras,SP,0,1,Internacional,RS,Palmeiras SP - 0,Internacional RS - 1,2
14,2ª,21:30,Flamengo                     RJ  2  x  1  São Paulo                    SP,Maracanã,Rio de Janeiro,RJ,17/04,qua,Flamengo,RJ,2,1,São Paulo,SP,Flamengo RJ - 2,São Paulo SP - 1,2
15,2ª,21:30,Botafogo                       RJ  1  x  0  Atlético                         GO,Nilton Santos,Rio de Janeiro,RJ,18/04,qui,Botafogo,RJ,1,0,Atlético,GO,Botafogo RJ - 1,Atlético GO - 0,2
19,2ª,20:00,Cuiabá                          MT  0  x  0  Vitória                           BA,Arena Pantanal,Cuiabá,MT,05/06,qua,Cuiabá,MT,0,0,Vitória,BA,Cuiabá MT - 0,Vitória BA - 0,2
24,3ª,16:00,Fluminense                   RJ  2  x  1  Vasco da Gama           RJ,Maracanã,Rio de Janeiro,RJ,2025-04-20 00:00:00,sab,Fluminense,RJ,2,1,Vasco da Gama,RJ,Fluminense RJ - 2,Vasco da Gama RJ - 1,3
21,3ª,18:30,Grêmio                          RS  1  x  0  Cuiabá                          MT,Arena do Grêmio,Porto Alegre,RS,2025-04-20 00:00:00,sab,Grêmio,RS,1,0,Cuiabá,MT,Grêmio RS - 1,Cuiabá MT - 0,3
27,3ª,18:30,Red Bull Bragantino     SP  1  x  0  Corinthians                   SP,Nabi Abi Chedid,Bragança Paulista,SP,2025-04-20 00:00:00,sab,Red Bull Bragantino,SP,1,0,Corinthians,SP,Red Bull Bragantino SP - 1,Corinthians SP - 0,3
22,3ª,21:00,Atlético                          MG 3  x  0  Cruzeiro                       MG,Arena MRV,Belo Horizonte,MG,2025-04-20 00:00:00,sab,Atlético,MG,3,0,Cruzeiro,MG,Atlético MG - 3,Cruzeiro MG - 0,3
23,3ª,16:00,Vitória                           BA  2  x  2  Bahia                            BA,Manoel Barradas,Salvador,BA,21/04,dom,Vitória,BA,2,2,Bahia,BA,Vitória BA - 2,Bahia BA - 2,3
26,3ª,16:00,Palmeiras                     SP  0  x  0  Flamengo                     RJ,Allianz Parque,São Paulo,SP,21/04,dom,Palmeiras,SP,0,0,Flamengo,RJ,Palmeiras SP - 0,Flamengo RJ - 0,3
28,3ª,16:00,Athletico                       PR  1  x  0  Internacional                RS,Ligga Arena,Curitiba,PR,21/04,dom,Athletico,PR,1,0,Internacional,RS,Athletico PR - 1,Internacional RS - 0,3
25,3ª,18:30,Botafogo                       RJ  5  x  1  Juventude                    RS,Nilton Santos,Rio de Janeiro,RJ,21/04,dom,Botafogo,RJ,5,1,Juventude,RS,Botafogo RJ - 5,Juventude RS - 1,3
29,3ª,18:30,Atlético                          GO 0  x  3  São Paulo                    SP,Antônio Accioly,Goiânia,GO,21/04,dom,Atlético,GO,0,3,São Paulo,SP,Atlético GO - 0,São Paulo SP - 3,3
30,3ª,19:00,Criciúma                       SC  1  x  1  Fortaleza                      CE,Heriberto Hulse,Criciúma,SC,24/07,qua,Criciúma,SC,1,1,Fortaleza,CE,Criciúma SC - 1,Fortaleza CE - 1,3
35,4ª,16:00,Vasco da Gama           RJ  0  x  4  Criciúma                       SC,São Januário,Rio de Janeiro,RJ,2025-04-27 00:00:00,sab,Vasco da Gama,RJ,0,4,Criciúma,SC,Vasco da Gama RJ - 0,Criciúma SC - 4,4
39,4ª,18:30,Cuiabá                          MT  0  x  3  Atlético                         MG,Arena Pantanal,Cuiabá,MT,2025-04-27 00:00:00,sab,Cuiabá,MT,0,3,Atlético,MG,Cuiabá MT - 0,Atlético MG - 3,4
33,4ª,21:00,Bahia                            BA  1  x  0  Grêmio                         RS,Arena Fonte Nova,Salvador,BA,2025-04-27 00:00:00,sab,Bahia,BA,1,0,Grêmio,RS,Bahia BA - 1,Grêmio RS - 0,4
34,4ª,11:00,Flamengo                     RJ  0  x  2  Botafogo                      RJ,Maracanã,Rio de Janeiro,RJ,28/04,dom,Flamengo,RJ,0,2,Botafogo,RJ,Flamengo RJ - 0,Botafogo RJ - 2,4
32,4ª,16:00,Cruzeiro                        MG 3  x  1  Vitória                           BA,Mineirão,Belo Horizonte,MG,28/04,dom,Cruzeiro,MG,3,1,Vitória,BA,Cruzeiro MG - 3,Vitória BA - 1,4
36,4ª,16:00,Corinthians                   SP  3  x  0  Fluminense                  RJ,Neo Química Arena,São Paulo,SP,28/04,dom,Corinthians,SP,3,0,Fluminense,RJ,Corinthians SP - 3,Fluminense RJ - 0,4
38,4ª,18:30,Fortaleza                      CE  1  x  1  Red Bull Bragantino    SP,Arena Castelão,Fortaleza,CE,28/04,dom,Fortaleza,CE,1,1,Red Bull Bragantino,SP,Fortaleza CE - 1,Red Bull Bragantino SP - 1,4
40,4ª,18:30,Juventude                     RS  1  x  1  Athletico                       PR,Alfredo Jaconi,Caxias do Sul,RS,28/04,dom,Juventude,RS,1,1,Athletico,PR,Juventude RS - 1,Athletico PR - 1,4
31,4ª,20:00,Internacional                 RS  1  x  1  Atlético                         GO,Beira-Rio,Porto Alegre,RS,28/04,dom,Internacional,RS,1,1,Atlético,GO,Internacional RS - 1,Atlético GO - 1,4
37,4ª,20:00,São Paulo                     SP  0  x  0  Palmeiras                     SP,Morumbis,São Paulo,SP,29/04,seg,São Paulo,SP,0,0,Palmeiras,SP,São Paulo SP - 0,Palmeiras SP - 0,4
44,5ª,16:00,Fluminense                   RJ  2  x  2  Atlético                         MG,Kleber Andrade,Cariacica,ES,2025-05-04 00:00:00,sab,Fluminense,RJ,2,2,Atlético,MG,Fluminense RJ - 2,Atlético MG - 2,5
47,5ª,18:30,Red Bull Bragantino     SP  1  x  1  Flamengo                     RJ,Nabi Abi Chedid,Bragança Paulista,SP,2025-05-04 00:00:00,sab,Red Bull Bragantino,SP,1,1,Flamengo,RJ,Red Bull Bragantino SP - 1,Flamengo RJ - 1,5
46,5ª,21:00,Corinthians                   SP  0  x  0  Fortaleza                      CE,Neo Química Arena,São Paulo,SP,2025-05-04 00:00:00,sab,Corinthians,SP,0,0,Fortaleza,CE,Corinthians SP - 0,Fortaleza CE - 0,5
43,5ª,16:00,Vitória                           BA  1  x  3  São Paulo                    SP,Manoel Barradas,Salvador,BA,05/05,dom,Vitória,BA,1,3,São Paulo,SP,Vitória BA - 1,São Paulo SP - 3,5
48,5ª,16:00,Athletico                       PR  1  x  0  Vasco da Gama           RJ,Ligga Arena,Curitiba,PR,05/05,dom,Athletico,PR,1,0,Vasco da Gama,RJ,Athletico PR - 1,Vasco da Gama RJ - 0,5
45,5ª,18:30,Botafogo                       RJ  1  x  2  Bahia                            BA,Nilton Santos,Rio de Janeiro,RJ,05/05,dom,Botafogo,RJ,1,2,Bahia,BA,Botafogo RJ - 1,Bahia BA - 2,5
49,5ª,18:30,Cuiabá                          MT  0  x  2  Palmeiras                     SP,Arena Pantanal,Cuiabá,MT,05/05,dom,Cuiabá,MT,0,2,Palmeiras,SP,Cuiabá MT - 0,Palmeiras SP - 2,5
50,5ª,19:00,Juventude                     RS  1  x  0  Atlético                         GO,Alfredo Jaconi,Caxias do Sul,RS,05/06,qua,Juventude,RS,1,0,Atlético,GO,Juventude RS - 1,Atlético GO - 0,5
42,5ª,19:30,Cruzeiro                        MG 0  x  0  Internacional                RS,Mineirão,Belo Horizonte,MG,28/08,qua,Cruzeiro,MG,0,0,Internacional,RS,Cruzeiro MG - 0,Internacional RS - 0,5
41,5ª,19:00,Grêmio                          RS  1  x  2  Criciúma                       SC,Arena do Grêmio,Porto Alegre,RS,25/09,qua,Grêmio,RS,1,2,Criciúma,SC,Grêmio RS - 1,Criciúma SC - 2,5
